mgr_ip,event_time,origin,origin_name,s_info,s_port,d_info,d_port,protocol,status,method,count
10.46.126.98,2018-08-09 9:39,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.110.112,46050,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:39,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.12.112,55394,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:39,109.0.101.18,傈合档没_夯没_郴何_FW01,109.11.70.247,47614,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:39,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.54.248,50922,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:39,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.108.112,40802,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:39,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.51.248,53197,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:39,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.111.112,52157,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:39,109.0.101.18,傈合档没_夯没_郴何_FW01,109.11.66.247,42474,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:39,109.0.101.18,傈合档没_夯没_郴何_FW01,109.3.115.123,45500,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:39,109.0.101.18,傈合档没_夯没_郴何_FW01,109.3.111.44,35130,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:38,109.0.101.18,傈合档没_夯没_郴何_FW01,109.11.68.247,51614,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:38,109.0.101.18,傈合档没_夯没_郴何_FW01,109.11.69.247,42571,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:36,109.0.101.18,傈合档没_夯没_郴何_FW01,109.11.63.247,38706,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:36,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.52.248,43170,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:36,109.0.101.18,傈合档没_夯没_郴何_FW01,109.6.5.241,42703,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:37,109.0.101.18,傈合档没_夯没_郴何_FW01,109.11.26.247,55002,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:36,109.0.101.18,傈合档没_夯没_郴何_FW01,109.3.112.210,34822,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:36,109.0.101.18,傈合档没_夯没_郴何_FW01,109.11.69.247,42567,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:37,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.111.112,52155,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:37,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.58.248,47270,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:37,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.54.248,50920,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:37,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.108.112,40800,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:37,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.109.112,40564,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:37,109.0.101.18,傈合档没_夯没_郴何_FW01,109.6.115.51,42414,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:37,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.102.112,38609,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:37,109.0.101.18,傈合档没_夯没_郴何_FW01,109.3.115.123,45494,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
